id,email_address,first_name,last_name,address,city,county_name,state,zip,website_source,phone_number,gender,dob,registration_date,valid,extra,email_id,ethnicity,ownrent,domain,main_interest,sub_interest,latitude,longitude,uploaded,country,websource_id,interest_ids,DNC,source,first_name_norm,last_name_norm,zip_norm
1,user1@example.com,James,Smith,123 Main St,Springfield,Franklin,CA,90210,organic,555-010-0100,M,1980-01-01,2025-01-01,1,,eid0,U,O,example.com,tech,news,35.000000,-90.000000,2026-01-01,US,1,"1,2",0,vendor_a,james,smith,90210
2,user2@example.com,James,Smith,123 Main St,Springfield,Franklin,CA,00USA,organic,555-010-0100,M,1980-01-01,2025-01-01,1,,eid0,U,O,example.com,tech,news,35.000000,-90.000000,2026-01-01,US,1,"1,2",0,vendor_a,james,smith,00USA
3,user3@example.com,James,Smith,123 Main St,Springfield,Franklin,CA,0,organic,555-010-0100,M,1980-01-01,2025-01-01,1,,eid0,U,O,example.com,tech,news,35.000000,-90.000000,2026-01-01,US,1,"1,2",0,vendor_a,james,smith,0
4,user4@example.com,James,Smith,123 Main St,Springfield,Franklin,CA,000CA,organic,555-010-0100,M,1980-01-01,2025-01-01,1,,eid0,U,O,example.com,tech,news,35.000000,-90.000000,2026-01-01,US,1,"1,2",0,vendor_a,james,smith,000CA
5,user5@example.com,James,Smith,123 Main St,Springfield,Franklin,CA,015 8,organic,555-010-0100,M,1980-01-01,2025-01-01,1,,eid0,U,O,example.com,tech,news,35.000000,-90.000000,2026-01-01,US,1,"1,2",0,vendor_a,james,smith,015 8
6,user6@example.com,James,Smith,123 Main St,Springfield,Franklin,WA,99501,organic,555-010-0100,M,1980-01-01,2025-01-01,1,,eid0,U,O,example.com,tech,news,35.000000,-90.000000,2026-01-01,US,1,"1,2",0,vendor_a,james,smith,99501
7,user7@example.com,James,Smith,123 Main St,Springfield,Franklin,GU,96910,organic,555-010-0100,M,1980-01-01,2025-01-01,1,,eid0,U,O,example.com,tech,news,35.000000,-90.000000,2026-01-01,US,1,"1,2",0,vendor_a,james,smith,96910
8,user8@example.com,James,Smith,123 Main St,Springfield,Franklin,ca,90210,organic,555-010-0100,M,1980-01-01,2025-01-01,1,,eid0,U,O,example.com,tech,news,35.000000,-90.000000,2026-01-01,US,1,"1,2",0,vendor_a,james,smith,90210
9,user9@example.com,James,Smith,123 Main St,Springfield,Franklin,NY,10001,organic,555-010-0100,M,1980-01-01,2025-01-01,1,,eid0,U,O,example.com,tech,news,35.000000,-90.000000,2026-01-01,US,1,"1,2",0,vendor_a,james,smith,10001
10,user10@example.com,James,Smith,123 Main St,Springfield,Franklin,NY,99999,organic,555-010-0100,M,1980-01-01,2025-01-01,1,,eid0,U,O,example.com,tech,news,35.000000,-90.000000,2026-01-01,US,1,"1,2",0,vendor_a,james,smith,99999
11,user11@example.com,James,Smith,123 Main St,Springfield,Franklin,,90210,organic,555-010-0100,M,1980-01-01,2025-01-01,1,,eid0,U,O,example.com,tech,news,35.000000,-90.000000,2026-01-01,US,1,"1,2",0,vendor_a,james,smith,90210
